All,Visi,module,Magento_AdminGws
None,Neviens,module,Magento_AdminGws
"Allowed Scopes","Atļautie parametri",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Jums nav nepieciešamās atļaujas dzēst šo produktu(s): %1.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","Jums nepieciešamas papildus tiesības, lai apstiprinātu noteikumu izmaiņas.",module,Magento_AdminGws
"Please assign this entity to a store view.","Iestatīt šo produktu veikala skatam.",module,Magento_AdminGws
"You can create orders only in an active store.","Jūs varat izveidot pasūtījumus tikai aktīvā veikalā.",module,Magento_AdminGws
"Please assign this item to a store view.","Iestatīt šo produktu veikala skatam.",module,Magento_AdminGws
"You need more permissions to save this item.","Jums nav nepieciešamās atļaujas saglabāt šo produktu.",module,Magento_AdminGws
"You need more permissions to delete this item.","Jums nav nepieciešamās atļaujas dzēst šo produktu.",module,Magento_AdminGws
"You need more permissions to view this item.","Jums nav nepieciešamās atļaujas apskatīt šo produktu.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Norādiet vismaz vinu lapu vai veikalu grupu.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Jums nav nepieciešamās atļaujas iestatīt Visus Parametrus Funkcijai.",module,Magento_AdminGws
"Incorrect website ID: %1","Nepareizs lapas ID: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Jums nepieciešama atļauja lai piekļūtu lapai ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","Nepareizs veikala ID: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Jums nepieciešama atļauja lai saglabātu šos iestatījumus.",module,Magento_AdminGws
"Role Scopes","Funkciju Parametri",module,Magento_AdminGws
Custom,Pielāgots,module,Magento_AdminGws
"Read Details","Vairāk informācijas",module,Magento_AdminNotification
"Mark as Read","Atzīmēt kā izlasītu",module,Magento_AdminNotification
"Are you sure?","Vai esat pārliecināts?",module,Magento_AdminNotification
Remove,Dzēst,module,Magento_AdminNotification
"Messages Inbox","Ziņu iesūtne",module,Magento_AdminNotification
"You have %1 new system messages","Jums ir %1 jaunas sistēmas ziņas",module,Magento_AdminNotification
"You have %1 new system message","Jums ir %1 jauna sistēmas ziņa",module,Magento_AdminNotification
"Incoming Message","Ienākošā ziņa",module,Magento_AdminNotification
close,aizvērt,module,Magento_AdminNotification
Notifications,Paziņojumi,module,Magento_AdminNotification
"The message has been marked as Read.","Ziņa atzīmēta kā izlasīta.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Kļūdas dēļ nevarēja atzīmēt ziņu kā izlasītu.",module,Magento_AdminNotification
"Please select messages.","Izvēlieties ziņas.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Kopā %1 ziņa(s) atzīmētas kā izlasītas.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Pavisam nodzēstas %1 ziņa(s).",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Nevar nodzēst ziņu kļūdas dēļ.",module,Magento_AdminNotification
"The message has been removed.","Ziņa ir nodzēsta.",module,Magento_AdminNotification
"1 Hour","1 stunda",module,Magento_AdminNotification
"2 Hours","2 stundas",module,Magento_AdminNotification
"6 Hours","6 stundas",module,Magento_AdminNotification
"12 Hours","12 stundas",module,Magento_AdminNotification
"24 Hours","24 stundas",module,Magento_AdminNotification
critical,kritisks,module,Magento_AdminNotification
major,svarīgs,module,Magento_AdminNotification
minor,mazsvarīgs,module,Magento_AdminNotification
notice,paziņojums,module,Magento_AdminNotification
"Wrong message type","Nepareizs ziņas veids",module,Magento_AdminNotification
"Wrong notification ID specified.","Norādīts nepareizs paziņojuma ID.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Vains vai vairāki keša veidi nav validēti: %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ejiet uz <a href=""%1"">Keša pārvaldība</a> un atjaunojiet keša veidus.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nav iespējams sinhronizēt vienu vai vairākus mēdiju failus. Varāk informācijas log failā.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Mēdiju failu sinhronizācija ir pabeigta.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Nav pareizi nokonfigurēts web serveris, tas ļauj piekļūt sensitīviem failiem. Sazinieties ar savu hostinga kompāniju.",module,Magento_AdminNotification
"System Messages:","Sistēmas paziņojumi:",module,Magento_AdminNotification
"Critical System Messages","Kristiski sistēmas paziņojumi",module,Magento_AdminNotification
"Major System Messages","Svarīgi sistēmas paziņojumi",module,Magento_AdminNotification
"System messages","Sistēmas paziņojumi",module,Magento_AdminNotification
Close,Aizvērt,module,Magento_AdminNotification
"See All (","Skatīt visas (",module,Magento_AdminNotification
unread),nelasītās),module,Magento_AdminNotification
"Show Toolbar","Rādīt rīkjoslu",module,Magento_AdminNotification
"Show List","Rādīt sarakstu",module,Magento_AdminNotification
"Use HTTPS to Get Feed","Lietojiet HTTPS lai lietotu plūsmu",module,Magento_AdminNotification
"Update Frequency","Atjaunošanas biežums",module,Magento_AdminNotification
"Last Update","Pēdējo reizi atjaunots",module,Magento_AdminNotification
Severity,Nozīmīgums,module,Magento_AdminNotification
"Date Added","Pievienošanas datums",module,Magento_AdminNotification
Message,Ziņa,module,Magento_AdminNotification
Actions,Darbības,module,Magento_AdminNotification
"Manage Shopping Cart","Pārvaldīt grozu",module,Magento_AdvancedCheckout
